1.7092,1.9687,0.64012,1.5522,0.91646,0.12439,1.9849,1.1206,1.9468,1.6032,0.86499,1.1664,1.9594,0.055749,1.5714,2.4026,5.7297,9.0339,5.2945,1.4456,1.8082,1.0018,1.5255,0.94559,1.0533,1.9075,2.724,4.7404,9.1887,4.0431,1.0962,1.9004,0.09545,1.5557,0.90004,1.5542,1.6372,0.643,1.3111,1.3334,0.9167,1.1475,1.4049,0.61981,1.8564,1.7141,1.7847,1.3723,0.71336,0.94018
0.79413,0.56043,1.2136,0.94566,0.5261,1.5784,1.4438,0.77655,0.24492,0.1769,0.43454,1.0707,0.83077,1.7747,2.2194,4.7078,10.921,4.1949,2.472,0.052523,0.57896,0.17215,1.4455,1.2647,0.48966,2.5219,4.3367,9.6735,5.6398,1.223,1.8964,1.5686,1.2227,0.060017,1.3911,1.9119,1.0951,0.32357,0.79607,1.2445,0.65729,1.3647,0.76779,0.66364,1.1124,0.36187,1.6901,0.57276,1.8844,0.87697
1.4687,0.45502,0.28223,0.63814,0.36839,1.5511,1.059,0.60515,0.011033,0.050358,1.4375,0.71827,1.5897,1.8331,0.059161,2.4806,5.8199,10.617,5.742,1.3622,1.7198,0.50399,1.7089,0.394,1.6769,1.1115,5.381,9.9769,4.7495,2.1106,0.074172,0.14852,0.03418,1.3608,1.4119,0.47397,0.40528,1.4837,1.1711,1.7109,1.9826,0.15649,0.062271,0.37319,0.58437,0.19858,1.194,0.86781,0.60925,1.5587
1.2822,0.27184,0.011424,0.77442,1.3955,1.9748,0.56095,1.4986,0.028428,1.6695,0.82109,1.0964,0.86172,0.87699,1.8195,1.5902,5.5104,10.963,5.7342,1.4877,0.81988,0.34606,0.49991,1.9951,1.0514,1.0568,5.697,10.703,5.8245,2.2101,1.068,0.83518,1.2486,1.7855,0.91998,0.12742,1.7296,1.1334,1.6235,1.0966,1.6271,0.70414,0.91328,1.3752,0.025122,0.035268,0.83548,0.73482,0.44982,0.21853
1.7305,1.8034,0.84139,1.4127,0.24786,1.8903,0.25092,1.9508,1.9463,0.2947,1.836,0.18185,1.6213,0.45639,0.74803,1.9403,4.5716,9.9909,4.4577,2.9942,1.996,0.065396,1.2298,0.0046752,0.69961,1.8541,0.45903,1.1363,5.6788,10.568,5.0474,1.7185,0.38873,0.74205,0.19549,0.45845,0.44451,1.4892,1.3637,1.8102,0.59012,0.70665,0.55883,1.1293,0.83659,1.5957,1.1141,1.0005,0.21762,1.3895
0.7814,0.86176,1.7886,1.7948,0.30269,1.4658,0.26518,0.713,0.72045,1.851,1.2897,0.57355,0.96941,1.2183,0.82793,2.5169,4.6598,9.859,4.6021,2.3099,1.2327,1.753,0.097223,1.2306,0.51426,0.74118,1.2498,5.0525,10.186,5.9095,1.1733,1.9734,1.0116,1.2472,1.2985,1.5628,1.2024,0.57553,1.9369,0.035518,1.7518,0.23013,0.67256,1.0884,1.9989,0.51307,1.0878,0.31522,1.2087,0.1212
1.9873,1.1222,0.31188,1.5102,1.404,1.9158,1.4931,1.0117,0.88872,1.8669,0.76649,0.98362,1.078,1.8507,1.8491,2.0814,4.9417,10.392,4.8198,1.2357,1.9203,0.1155,0.22559,1.6489,1.3377,4.0317,9.1024,4.6576,1.1919,0.38863,0.46348,1.8781,0.9596,1.3853,1.2549,1.9297,0.49285,0.18806,0.58015,1.1717,0.63382,0.98488,0.10437,1.8671,1.3471,0.71966,1.437,0.89515,1.1111,1.1635
0.62962,0.028786,0.62111,0.27133,0.8022,0.25957,0.6831,1.5909,0.86292,0.21422,0.71101,1.1198,0.021895,1.2712,0.9128,2.6161,5.1384,9.437,4.3847,2.6495,0.077574,0.93518,0.69629,0.82813,2.1985,5.0073,10.279,4.6842,1.4766,0.93335,0.76697,0.030871,1.4211,1.57,0.29792,0.44941,1.806,1.1639,0.031497,0.56225,1.9196,0.86657,1.08,0.062835,1.0997,1.6171,0.74558,1.8295,1.2095,0.74835
0.08073,0.95489,1.9218,0.23479,0.49842,1.3366,0.7423,1.3758,0.41044,1.7552,0.33485,0.84257,1.2105,0.10963,1.9354,1.3016,5.2055,9.1525,4.3891,2.4628,0.36058,1.2147,0.9439,1.7926,1.622,1.8983,1.1564,5.462,9.0466,5.8222,1.8494,0.94652,1.3807,1.2648,0.40414,1.7696,1.2741,0.17039,0.82025,1.4878,1.8572,0.46459,0.76187,1.3246,1.5439,1.1325,0.48038,0.17754,1.5854,0.71821
0.69166,1.6681,1.9358,0.19078,0.58867,0.76018,0.81846,0.52489,0.94115,0.81266,1.153,1.0224,0.45935,1.9844,0.39499,0.40162,1.4761,4.9214,9.2993,5.4288,1.2221,0.71544,0.15906,1.024,1.6978,1.8649,2.5414,5.6663,9.3081,4.8319,2.5472,1.7963,1.4521,1.3806,1.3254,1.8937,0.28887,1.55,1.7144,0.43184,0.99228,0.39879,1.9969,1.5503,0.63938,1.5642,1.3376,0.74425,0.041849,1.4349
